Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-02-04 20:00:00,98859.78000000,99444.02000000,96150.00000000,97763.13000000,9365.42724000,2025-02-04 23:59:59.999,915545881.12546160,1667607,4212.15909000,411762206.11021120,0
2025-02-05 00:00:00,97763.14000000,98930.44000000,97131.43000000,98040.00000000,4039.38442000,2025-02-05 03:59:59.999,395840052.17243290,831919,1826.61299000,179003253.71757200,0
2025-02-05 04:00:00,98040.01000000,98332.41000000,97352.77000000,97864.43000000,3233.50156000,2025-02-05 07:59:59.999,316415929.84229030,553580,1342.52834000,131410232.11471460,0
2025-02-05 08:00:00,97864.43000000,98256.00000000,97257.05000000,98198.00000000,3128.59694000,2025-02-05 11:59:59.999,305995540.81329310,506034,1552.72751000,151841658.01299050,0
2025-02-05 12:00:00,98198.00000000,99149.00000000,97734.69000000,98116.24000000,5192.00486000,2025-02-05 15:59:59.999,510707494.17210120,836692,2248.69876000,221320059.84038040,0
2025-02-05 16:00:00,98116.24000000,98277.02000000,96500.00000000,97370.00000000,4822.00148000,2025-02-05 19:59:59.999,469607207.06819260,1017892,2181.65918000,212467038.73985770,0
2025-02-05 20:00:00,97370.00000000,97706.37000000,96155.00000000,96612.43000000,5817.81518000,2025-02-05 23:59:59.999,563775929.76137520,725646,1880.32496000,182274045.71704370,0
2025-02-06 00:00:00,96612.44000000,97493.07000000,96430.78000000,97355.67000000,2552.15194000,2025-02-06 03:59:59.999,247622714.82929900,517373,1290.53705000,125191943.97119700,0
2025-02-06 04:00:00,97355.66000000,98436.61000000,97273.71000000,98195.61000000,2075.46063000,2025-02-06 07:59:59.999,203290934.22414060,327823,984.88753000,96446902.68686630,0
2025-02-06 08:00:00,98195.60000000,99120.00000000,97910.01000000,98877.99000000,2729.43375000,2025-02-06 11:59:59.999,269205952.96516280,451779,1425.06068000,140577980.95856560,0
2025-02-06 12:00:00,98877.99000000,99040.09000000,96930.17000000,97333.09000000,6201.57209000,2025-02-06 15:59:59.999,607804168.41376390,1171515,3009.79054000,295033956.86635000,0
2025-02-06 16:00:00,97333.09000000,97547.71000000,95676.64000000,95983.00000000,6034.55958000,2025-02-06 19:59:59.999,582521980.78514230,1090072,2832.16563000,273427219.67018950,0
2025-02-06 20:00:00,95982.99000000,97093.50000000,95800.00000000,96554.35000000,3922.02606000,2025-02-06 23:59:59.999,378626170.00005150,684245,1719.08906000,165933635.22284050,0
